product_name,product_url,image_url,price,category,is_in_stock,measurements
Brown’s Bocconcini – 250g,https://greenspoon.co.ke/product/browns-bocconcini/,https://greenspoon.co.ke/wp-content/uploads/2024/08/PS-Bocconcini-Bite-Size-Mozzarella-Balls-720x480.jpg,KShs 789,Cheese,true,250g
Brown’s Limuru Reserve Cheddar – 225g,https://greenspoon.co.ke/product/browns-limuru-reserve-cheddar/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Reserve-Limuru-Cheddar-Browns--720x480.jpg,KShs 819,Cheese,true,225g
Brown’s Brie Portion – 125g,https://greenspoon.co.ke/product/browns-brie-portion/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Brie-Browns--720x480.jpg,KShs 779,Cheese,true,125g
Brown’s Grated Parmesan Cheese – 100g,https://greenspoon.co.ke/product/browns-grated-parmesan-cheese-100g/,https://greenspoon.co.ke/wp-content/uploads/2023/03/Greenspoon-Kenya-Browns-Grated-Parmesan-Cheese-100g-720x480.jpg,"KShs 1,069",Cheese,true,100g
Sirimon Everyday Cheese Burger Slices – 200g,https://greenspoon.co.ke/product/sirimon-cheese-burger-slices-200g/,https://greenspoon.co.ke/wp-content/uploads/2022/05/greenspoon-22-2-720x480.jpg,KShs 519,Cheese,true,200g
Brown’s Gouda Portion – 200g,https://greenspoon.co.ke/product/browns-gouda-portion/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Gouda-Portion-Browns--720x480.jpg,KShs 729,Cheese,true,200g
Brown’s Camembert – 200g,https://greenspoon.co.ke/product/browns-camembert/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Camembert-Cheese-Browns--720x480.jpg,KShs 798,Cheese,true,200g
Arla Gouda Cheese Slices – 150g,https://greenspoon.co.ke/product/arla-gouda-cheese-slices-150g/,https://greenspoon.co.ke/wp-content/uploads/2024/06/greenspoon-Arla-gouda-1-of-1-720x480.jpg,"KShs 1,019",Cheese,true,150g
Delia’s Blue Cheese – 150g,https://greenspoon.co.ke/product/delias-blue-cheese-150g/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Bleu-Delias-720x480.jpg,KShs 669,Cheese,true,150g
Grana Padano Cheese Portions,https://greenspoon.co.ke/product/grana-padano-cheese-portion/,https://greenspoon.co.ke/wp-content/uploads/2023/03/Greenspoon-Kenya-Provolone-Dolce-Cheese-2-720x480.jpg,"KShs 2,998",Cheese,true,
Brown’s Ricotta – 420g,https://greenspoon.co.ke/product/browns-ricotta/,https://greenspoon.co.ke/wp-content/uploads/2017/05/PS-Ricotta--720x480.jpg,KShs 669,Cheese,true,420g
Brown’s Chili Chive Cheddar Portion – 225g,https://greenspoon.co.ke/product/browns-chili-chive-cheddar-portion/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Chili-Chive-Cheddar-Browns-720x480.jpg,KShs 789,Cheese,true,225g
Arla Mozzarella Shredded Cheese – 175g,https://greenspoon.co.ke/product/arla-mozzarella-shredded-cheese-175g/,https://greenspoon.co.ke/wp-content/uploads/2024/06/greenspoon-Arla-mozarella-1-of-1-720x480.jpg,KShs 879,Cheese,true,175g
Brown’s Double Cream Camembert – 200g,https://greenspoon.co.ke/product/browns-double-cream-camembert-200g/,https://greenspoon.co.ke/wp-content/uploads/2021/11/Greenspoon-231-720x480.jpg,KShs 819,Cheese,true,200g
Brown’s Whole Milk Ricotta – 420g,https://greenspoon.co.ke/product/browns-whole-milk-ricotta-420g/,https://greenspoon.co.ke/wp-content/uploads/2022/05/Greenspoon-Whole-Milk-Ricotta-Brown_s-720x480.jpg,KShs 629,Cheese,true,420g
Arla Havarti Cheese Slices – 150g,https://greenspoon.co.ke/product/arla-havarti-cheese-slices-150g/,https://greenspoon.co.ke/wp-content/uploads/2024/06/greenspoon-Arla-havarti-1-of-1-720x480.jpg,"KShs 1,019",Cheese,true,150g
Abony Dairies Halloumi Cheese – 200g,https://greenspoon.co.ke/product/abony-dairies-halloumi-cheese-200g/,https://greenspoon.co.ke/wp-content/uploads/2024/01/abony-halloumi-720x480.jpg,KShs 429,Cheese,true,200g
Sirimon Feta Cheese – 500g,https://greenspoon.co.ke/product/sirimon-feta-cheese-500g/,https://greenspoon.co.ke/wp-content/uploads/2023/01/Greenspoon-1-37-720x480.jpg,KShs 959,Cheese,true,500g
Brown’s Lemon Pepper Feta – 200g,https://greenspoon.co.ke/product/browns-lemon-pepper-feta/,https://greenspoon.co.ke/wp-content/uploads/2017/05/PS-FETA-Lemon-Pepper-720x480.jpg,KShs 789,Cheese,true,200g
Arla Cheddar Cheese Slices – 150g,https://greenspoon.co.ke/product/arla-cheddar-cheese-slices-150g/,https://greenspoon.co.ke/wp-content/uploads/2024/06/greenspoon-Arla-cheddar-1-of-1-720x480.jpg,"KShs 1,019",Cheese,true,150g
Brown’s Smoky Eggplant Dip With Sour Cream Dip – 200g,https://greenspoon.co.ke/product/browns-smoky-eggplant-dip-with-sour-cream-dip-250g/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Smoky-Eggplant-Dip-with-Sour-Cream-Browns--720x480.jpg,KShs 619,Cheese,true,200g
Karen Fork Organic Eggs – Tray Of 30,https://greenspoon.co.ke/product/karen-fork-organic-eggs-tray-of-30/,https://greenspoon.co.ke/wp-content/uploads/2022/01/Greenspoon-Tray-of-Organic-Eggs-Karen-Fork-720x480.jpg,KShs 698,Dairy,true,Tray Of 30
Karen Fork Organic Eggs – Tray Of 15,https://greenspoon.co.ke/product/karen-fork-organic-eggs-15-pack/,https://greenspoon.co.ke/wp-content/uploads/2023/10/Greenspoon-Kenya-Karen-Fork-Organic-Eggs-%E2%80%93-15-Pack-720x480.jpg,KShs 398,Dairy,true,Tray Of 15
Bugslife Farm Kuku Za Shem Table Eggs – Pack Of 15 Eggs,https://greenspoon.co.ke/product/bugslife-farm-kuku-za-shem-table-eggs-pack-of-15-eggs/,https://greenspoon.co.ke/wp-content/uploads/2022/11/Greenspoon-15-Pack-Bugslife-720x480.jpg,KShs 339,Dairy,true,Pack Of 15 Eggs
Isinya Eggs – 15 Pack,https://greenspoon.co.ke/product/isinya-eggs-15-pack/,https://greenspoon.co.ke/wp-content/uploads/2024/11/Greenspoon-isinya-15-2-of-1-720x480.jpg,KShs 298,Dairy,true,15 Pack
Isinya Eggs – 6 Pack,https://greenspoon.co.ke/product/isinya-eggs-6-pack/,https://greenspoon.co.ke/wp-content/uploads/2024/11/Greenspoon-isinya-6-2-of-1-720x480.jpg,KShs 119,Dairy,true,6 Pack
Bugslife Farm Kuku Za Shem Table Eggs – Tray Of 30 Eggs,https://greenspoon.co.ke/product/bugslife-farm-kuku-za-shem-table-eggs-tray-of-30-eggs/,https://greenspoon.co.ke/wp-content/uploads/2022/11/Greenspoon-30-Pack-Bugslife-720x480.jpg,KShs 719,Dairy,true,Tray Of 30 Eggs
Isinya Eggs – 12 Pack,https://greenspoon.co.ke/product/isinya-eggs-12-pack/,https://greenspoon.co.ke/wp-content/uploads/2024/11/Greenspoon-isinya-12-2-of-1-720x480.jpg,KShs 239,Dairy,true,12 Pack
Coomete Farm Kienyeji Eggs,https://greenspoon.co.ke/product/coomete-farm-kienyeji-eggs/,https://greenspoon.co.ke/wp-content/uploads/2022/04/Greenspoon-Tray-of-Eggs-720x480.jpg,KShs 219,Dairy,true,
Farm Fresh Eggs – Tray Of 30,https://greenspoon.co.ke/product/johliz-farm-barn-eggs-tray-of-30/,https://greenspoon.co.ke/wp-content/uploads/2024/07/greenspoon-eggs-1-of-1-720x480.jpg,KShs 469,Dairy,true,Tray Of 30
Ololo Farm Eggs – Tray Of 30,https://greenspoon.co.ke/product/ololo-farm-eggs-tray-of-30/,https://greenspoon.co.ke/wp-content/uploads/2022/03/Greenspoon-Kenya-Ololo-Farm-Eggs-Tray-of-30-720x480.jpg,KShs 798,Dairy,true,Tray Of 30
Bugslife Farm Kuku Za Shem Table Eggs – Pack Of 6 Eggs,https://greenspoon.co.ke/product/bugslife-farm-kuku-za-shem-table-eggs-pack-of-6-eggs/,https://greenspoon.co.ke/wp-content/uploads/2022/11/Greenspoon-6-Pack-Bugslife-720x480.jpg,KShs 149,Dairy,true,Pack Of 6 Eggs
